Contact Person,Designation,Organization,LinkedIn Profile
 Archana Verma,Archana Verma,Security Lit Private Limited,https://in.linkedin.com/in/archana-verma-20596b99
 Chirayu Rawal,Assistant Manager Marketing,Sehatpro Technologies PVT LTD,https://in.linkedin.com/in/chirayu-rawal-b84aa720a
Prof. Amit Acharyya,Amit Acharyya,SenseHealth Technologies Private Limited,https://in.linkedin.com/in/amit-acharyya-4477b3188
 CHOCKALINGAM AMBALAVANAN,CHOCKALINGAM AMBALAVANAN,SENSIA TEXTILES PRIVATE LIMITED,https://in.linkedin.com/in/chockalingam-ambalavanan-b0998714
 Pankit Desai,CEO & Co -Founder,Sequretek,https://www.linkedin.com/in/pankit
 Saad Jamal,CEO,Serri Tech Labs Private Limited,Not found
 Utkarsh Vaishnav,Utkarsh Vaishnav,Setu Global Innovations Pvt. Ltd.,https://in.linkedin.com/in/utkarsh-vaishnav
 Vaibhav Ram,"Founder, CEO",SETV,https://in.linkedin.com/in/vaibhav-ram
 MANISH BHARDWAJ,Director & CEO,SHAFT ENERGIES PVT. LTD.,https://in.linkedin.com/in/manish-bhardwaj-131a94a
 Abhay Kumar Chandalia,Abhay Kumar Chandalia,SHARE SAMADHAN LIMITED,https://in.linkedin.com/in/abhay-chandalia-8a693192
 VIPUL BHATIA,CHIEF FINANCE OFFICER,SHAYRA FOOD PRIVATE LIMITED,https://in.linkedin.com/in/vipul-bhatia-50b980120
 Sunita Jakhar,Director,Shekhawaati Designs & Fashion Pvt Ltd,https://in.linkedin.com/in/sunita-jakhar-28b84b206
 Akash Bhanjadeo,Sherlock Studio,Sherlock Studio Private Limited,Not found
 Rajiv Kumar Sharma,Director,SHHUDHAM EKATVA GR ORGANICS PRIVATE LIMITED,https://in.linkedin.com/in/rajiv-kumar-sharma-59b49821
 Pawan Kumar,CEO- Co Founder,Shipease Technologies Private Limited,https://in.linkedin.com/in/pawan-kumar-97a84a43
 Shaswat Sharma,Shaswat Sharma,ShipGlobal.in,https://in.linkedin.com/in/imsashwat
 Tejas Khera,Owner,ShipUniversal,https://in.linkedin.com/in/tejas-khera-3b2648206
 Anand Parikh,Founder and CEO,Shira Medtech,https://in.linkedin.com/in/harshini-zaveri-12a2524b
 SUMIT DORAYA,DIRECTOR,SHISHUNIRMAN HEALTHCARE PRIVATE LIMITED,https://in.linkedin.com/in/dr-sumit-doraya-0209b929
 Divesh Gupta,divesh gupta,ShivasTechVision,https://www.linkedin.com/in/divesh-gupta
 Hitesh K Sharma,Founder,Shoonya Mobility Private Limited,https://in.linkedin.com/in/hiteshsharmaaofficial
 Rounak Chindalia,Founder,ShopIQ,https://in.linkedin.com/in/rounakschindalia
 SHREYA GHOSH,SHREYA GHOSH,SHREYANI CONSULTING AND TESTING SERVICES PVT LTD,https://in.linkedin.com/in/shreya-ghosh
 Bhavay Garg,"Co-Founder, CEO",Shubhavay Technologies,https://in.linkedin.com/in/bhavay-garg
 Manoj Doogra,CEO/Founder,SHUCAE FILMS,https://in.linkedin.com/in/manoj-doogra-4325b512
 Paritosh Sharma,Founder,Shunya AI( GAP8 EDUCATION VENTURES PRIVATE LIMITED),https://in.linkedin.com/in/paritosh-sharma
 Sagar Nath,Director,Shunya India Agritech Pvt.Ltd.,https://in.linkedin.com/in/sagar-nath-aa334474
 Harsh Dangayach,Founder,Shvaas Sustainable Solutions Private Limited,https://in.linkedin.com/in/harsh-dangayach-022a101a2
 Shefali Walia,shefali walia,Shw Innovation Suite OPC pvt ltd,https://www.linkedin.com/in/shefali-walia-51a3639
 Rajat Sharma,Advisor,Sigma Entrepreneurship Development & Incubation Center,https://in.linkedin.com/in/rajat-sharma-62264254
 Namratha Tejasvi,Program Manager,SignDesk,https://in.linkedin.com/in/namratha-c-n-012842a9
 SANTHI THAKUR,DIRECTOR,Signite Technology Pvt Ltd,https://in.linkedin.com/in/santhikrishnant
 Sandeep Raghuwanshi,CEO,Silae ESG Solutions Pvt Ltd,https://ae.linkedin.com/in/sandeep-raghuwanshi
 Simran Khara,Director,Simk Labels Private Limited,https://in.linkedin.com/in/simran-khara-1a411b18
 Preksha Mehta,ïƒŸïƒžïƒ™ïƒïƒïƒ¯ïƒ°ïƒ°ïƒ¨ïƒ”,Simple Telecom Pvt Ltd,https://in.linkedin.com/in/preksha-mehta-b47637167
 Mahir Pasrija,Founding Team Member,Simpler Today (Cognitive Eight Legal Technologies Private Limited),https://in.linkedin.com/in/mahir-pasrija-24b507126
 Neha Purohit,CMO,Simply Unusual Pvt. Ltd.,https://in.linkedin.com/in/neha-purohit-426505233
 Sunil Shrivastava,Sunil Shrivastava,Sisir Radar,https://in.linkedin.com/in/sunil-srivastava-55a4a62
 SRIKANTH MUPPALLA,DIRECTOR,SKILLDZIRE TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/srikanth-muppalla
 Raghav Sharma,Founder,Skillonation kids,https://in.linkedin.com/in/raghav-sharma-
 Ruchi Gupta,Ruchi Gupta,SkinMinds Derma Private Ltd,https://in.linkedin.com/in/drruchigupta
 Aishwarya Nagarajan,Director,Skinny Secrets Private Limited,https://in.linkedin.com/in/aishwarya-nagarajan-882445b7
 Gautam Banerjee,Gautam Banerjee,Skiom Pvt Ltd,https://in.linkedin.com/in/dr-gautam-banerjee-b500266
 DARSHANA JAIN,FOUNDER CMO,SKITII,https://in.linkedin.com/in/darshana-jain-81477a146
 Jitender Chhabra,Founder,SkyJumper Sports and Amusements Pvt Ltd,https://www.linkedin.com/in/suneel-dhar-6983214
 Tushar Vadera,Cofounder,Skyvo Technologies Pvt Ltd,https://in.linkedin.com/in/tvadhera1882
 Himansu Sekhar Panda,CEO/MD,Skyy Skill Academy,https://in.linkedin.com/in/himansu-sekhar-panda
 Himansu Sekhar Panda,MD & CEO,SkyySkill Academy Private Limited,https://in.linkedin.com/in/dr-himanshu-sekhar-panda-5390725a
 ARMAN SOOD,Co- Founder,Sleepy Owl Coffee Pvt Ltd,https://in.linkedin.com/in/ashwajeet-singh-58901362
 Vishal Laddha,CEO and Co -Founder,Smaart Eats LLP,Not found
 Sadhu Charan Moharana,Director,Small Signals India Pvt Ltd,https://in.linkedin.com/in/sadhu-charan-moharana-63185561
 Sameer Srivastava,Sam Srivastava,Smarklabs Media Pvt Ltd,https://in.linkedin.com/in/sameer-srivastava-31455a2
 Vibhu Kumar,Director,Smart Handicrafts,https://in.linkedin.com/in/vibhu-kumar-311492137
 Rohit Bajaj,Director,SmartQR Technologies Private Limited,https://in.linkedin.com/in/rohit-bajaj-5680157
 Hemant Konde,Director,SmartU Krishi,https://in.linkedin.com/in/hemant-konde-910a672a2
 BIBHUTI BIKRAMADITYA,Director,Smartway Electronics Private Limited,https://in.linkedin.com/in/dr-bibhuti-bikramaditya-004363a2
 Gulshan Saluja,Founder,Smilebird Healthcare Private Limited,https://in.linkedin.com/in/gulshansaluja
 SWARNALATA DEI,SWARNALATA DEI,SMPS ELECTRIC CONTROL PVT. LTD,https://in.linkedin.com/in/swarnalata-dei-942945326
 Palak Arora,Partner,SNP SUPERFOODS LLP (unit of SatGuru Superfoods),https://in.linkedin.com/in/palak-arora-605038179
 Abhishek Goyal,Founder,Socialveins,https://in.linkedin.com/in/abhishekgoyal1305
 Priyank Agrawal,Managing Director,Softdoc Management Private Limited,https://in.linkedin.com/in/priyank-ag
 Smrita Pradhan,Smrita Pradhan,Soielife,https://in.linkedin.com/in/smrita-pradhan-717992317
 Abhinav Aggrawal,CEO,SOL9X,https://in.linkedin.com/in/abhinav-aggrawal
 Nikhil Chonde,Director,Solar Basket,https://in.linkedin.com/in/nikhil-chonde-13a4a386
 B N Mishra,Founder,SOLVISER INDIA PRIVATE LIMITED,https://in.linkedin.com/in/bnmishra
 Varsha Agarwal,Business Head,Solwing Impex LLP,https://in.linkedin.com/in/varsha-agarwal-9b481ba9
 Anil Soni,Director,SONIJI YTS PRIVATE LIMITED,https://in.linkedin.com/in/anil-soni-7b06a5196
 SAURABH MAURYA,MD,SONSHIV INDUSTRIES PARIVTE LIMITER,https://in.linkedin.com/in/saurabh-maurya-sonshiv
 Arvind Ramchandran,"Arvind Sharma, Co -Founder & Chief Strategy Officer",SooryaEV India Private Limited,https://in.linkedin.com/in/arvind-ramachandran2709
 Pankaj Deval,Director- Business Operations,Sooryauday Aerial Vehicles Private Limited,https://in.linkedin.com/in/pankaj-deval
 Anjo Joseph,Director,Sous Itineraires International Pvt. Ltd,https://in.linkedin.com/in/anjo-joseph-50ab042a9
 Vaibhav Jha,Vaibhav Jha,Sowl ETraders Pvt. Ltd.,https://in.linkedin.com/in/jhavaibhav
 Saurabh Kadam,CEO,SP Agro Innovations,https://in.linkedin.com/in/saurabh-kadam-545026a2
 Prabal Singh,Founder,SP Rural India Services Private Limited,https://in.linkedin.com/in/prabal-psingh
 Preeta Sharan,Director,SP4 AMEYA INNOVATION LABS PRIVATE LIMITED,https://in.linkedin.com/in/preeta-sharan-bb61b331
 Rakesh Jain,Co-Founder,Space Age Foods LLP,https://in.linkedin.com/in/rakesh-jain-02878077
 Masook Apurwa,CEO Director Founder,SpaceFields Private Limited,https://in.linkedin.com/in/apurwamasook
 Apurwa Masook,Founder CEO,SpaceFields Pvt Ltd,https://in.linkedin.com/in/apurwamasook
 HARI SHANKAR R L,Founder,SPACETUG PRIVATE LIMITED,https://in.linkedin.com/in/harshan05
 Harshit Thakral,Director,Spanda 3D,https://in.linkedin.com/in/harshit-thakral-138157250
 Manjari Soni,VP - Sales & Marketing,Spark TG Info Pvt Ltd,https://in.linkedin.com/in/manjarisoni
 Nikhil Bhatnagar,Founder and CEO,Sparkvr technologies Pvt. Ltd.,https://in.linkedin.com/in/nb-nikhil
 Rahul Joshi,CEO - Authorized Signatory,Sparrow - API Testing Platform,https://in.linkedin.com/in/rahul-joshi-3a179777
 Sivadhanush Uppalapati,Founder & CEO,Speekon Universal Private Limited,https://in.linkedin.com/in/sivadhanush-uppalapati-aa860a160
 Kunal Shah,Founder,Spiritual Energy Private Limited,https://in.linkedin.com/in/biz-kunalshah
 Shashank Shekhar,Director,Spotfills Services private Limited,https://in.linkedin.com/in/shashank-shekhar-11033517a
 Rakesh Kumar,MD & FOUNDER,SQUARE INSURANCE BROKERS PRIVATE LIMITED,https://in.linkedin.com/in/dr-rakesh-kumar-md-ab424512b
 Shyamli Sahai,Director,Srajan Data Analytics Private Limited,https://in.linkedin.com/in/shyamli-ranjan
 SESHI REDDY K,BUSINESS HEAD,SRESHTA NATURAL FARMERS LLP,https://www.linkedin.com/in/kseshireddy
 SRISHTI SHARMA,SRISHTI SHARMA,SRISHTI SHARMA,https://in.linkedin.com/in/srishti-sharma-1b549b1a9
 SUBHAM SAWARNKAR,CEO-COFOUNDER,SRQ ENGINEERS PARCEL & HAUL PRIVATE LIMITED,https://in.linkedin.com/in/subham-sawarnkar-96981467
 BALRAM SINGH RAJORA,DIRECTOR AND CEO,STAR NUKE CONSULTING ENGINEERING SERVICES PRIVATE LIMITED,https://in.linkedin.com/in/balram-singh-rajora
 Shambhavi Tiwari,EA to CEO,StarClinch,https://in.linkedin.com/in/shamvi06
 NITIN SRIVASTAV,Nitin Srivastav,Stars of Pantnagar Pvt Ltd,https://in.linkedin.com/in/nitinsrivastav
 AAYUSH GUPTA,VP OF BUSINESS ALLIANCES,STARTERS CFO,https://in.linkedin.com/in/aayush795
 Pukhraj Parikh,co-Founder,Starttech Educational Services LLP,https://in.linkedin.com/in/pukhraj-parikh
 Shishir Gupta,Dr. Shishir Gupta,StartupLanes,https://in.linkedin.com/in/dr-shishir-gupta-657015b0
 Madhur Mohan Malik,Founder,StartupNews.fyi,https://in.linkedin.com/in/madhurmohanmalik
 Monika Yadav,Cofounder & CEO,STEAM Varsity,https://in.linkedin.com/in/monika-yadav-a4242727
 Sumir Chadha,Co Founder,SteamPRO,https://ca.linkedin.com/in/sumir-chadha-82643023
 Bharat Mandot,Bharat Mandot,STELCORE RETAIL LLC,https://in.linkedin.com/in/bharat-mandot-339564276
 Ritika Amit Kumar,"CEO, Co-founder",STEM Metaverse,Not found
 SEONG WOOK HWANG,CEO,StepHow Inc.,https://kr.linkedin.com/in/seongwook-hwang-%ED%99%A9%EC%84%B1%EC%9A%B1-9a22021a0
 Nzitonda Kiyengo,Legal representative,STES GROUP,https://rw.linkedin.com/in/nzitonda-kiyengo-41a957232
 Amit Srivastava,CEO,Stillsweb Technologies Private Limited,https://in.linkedin.com/in/amit-srivastava-47776016
 Subhash Chandra H,Co Founder,Stoicheiodis Scientia Private Limited,https://in.linkedin.com/in/hscsubhash
 Krishna Siddhapura,Co-Founder,Story Tailor Kids LLP,Not found
 Taha Khalid,CTO,STPI LUCKNOW,https://in.linkedin.com/in/taha-khalid-999319287
 Rahul Bhola,Rahul Bhola,Studio Agama,https://in.linkedin.com/in/ar-rahulbhola
 Santosh Kumar Gupta,Santosh Gupta,Studiovity Pvt. Ltd.,https://in.linkedin.com/in/santy1994
 Tripti Verma,Tripti Verma,Study At Home Private Limited,https://in.linkedin.com/in/cootriptiverma
 DHAWAL GUPTA,CEO,SUBHOT ENTERPRISES PRIVATE LIMITED,https://in.linkedin.com/in/dhawal-gupta-637790333
 SWARNIMA SINGH,DIRECTOR,Success arrow SuperFoods Pvt. Ltd.,https://in.linkedin.com/in/swarnima-singh-9a9216144
 Sudhanshu Sharma,founder & ceo,SUDHANSHU SHARMA,https://in.linkedin.com/in/sudanshushrma
 Sakshi Jain,Sakshi Jain,SUHORA Technologies Private Limited,https://in.linkedin.com/in/sakshi-jain-289226280
 SANTHOSH V,FOUNDER DIRECTOR AND CEO,SUKTHA SOLUTIONS PVT LTD,https://in.linkedin.com/in/santhosh-v-5b261416
 Manjeet Yadav,Founder & Managing Partner,Suma Technology Services LLP,https://in.linkedin.com/in/ermanjeetyadav
 DAKSH PHUKELA,DIRECTOR,SUMIOM INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/dr-sumit-singh-phukela-16494a245
 Vedvyas V,Founder & CEO,Suncharge Smartgrids India Private Limited,Not found
 Surajit Kundu,Surajit Kundu,Sundarban chemicals pvt Ltd,https://in.linkedin.com/in/surajit-kundu-98235426a
 Kamal Nayan,Assistant Manger: Strategic Alliances and Partnerships,SUNFOX TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/kamal-nayan-a7895b224
 Chhavi Jain,Associate Director,Surfboats Solutions Private Limited,https://in.linkedin.com/in/chhavi-jain-1108
 Akash Chandrakar,CTO,Surobhi Agro Industries Pvt Ltd,https://in.linkedin.com/in/akashchandrakar
 Vijayakumari Kakarla,Founder,SUS TECH INNOVATIONS,https://in.linkedin.com/in/vijayakumari-kakarla-461123224
 Garima Capoor Nanda,Director,SusNovation Ventures Private Limited,https://in.linkedin.com/in/garima-capoor-9498a93a
 Anurag Gupta,Founder,Sustain Vibe Innovations Private Limited,https://in.linkedin.com/in/anurag-gupta-6944313b
 BIJETA SINGH,Manager,Sustainable Reference Analytics Pvt Ltd,https://in.linkedin.com/in/bijeta-singh-a0b26895
 Jongpong Chiten,Director & Co -founder,Sutsung Enterprise Private Limited,https://in.linkedin.com/in/jongpong-chiten-61537756
 Manoj Kadam,Founder,SVAM Agrofoodex Pvt Ltd,https://in.linkedin.com/in/dr-manoj-kadam-33121b1b
 Sayanika Deka,Founder,SVASTHA SAMRIDDHI PRIVATE LIMITED,https://in.linkedin.com/in/sayanika-deka-265b8b274
 Dhruvesh Maiya,Program Head,Svatahbio innovations,https://in.linkedin.com/in/dhruvesh-maiya-524096262
 Neha Bharti,Founder & CEO,Swadha Agri Pvt Ltd,https://www.linkedin.com/in/neha-bharti
 Swetabh Pareek,Founder,Swetabh Pareek,https://in.linkedin.com/in/swetabhpareek
 Neeraj Kumar,Director,Swiss Agro,https://in.linkedin.com/in/neeraj-kumar-94999b21
 Pooja Sawant,co founder,Swizuka Recyweave LLp,https://in.linkedin.com/in/pooja-sawant-38bb39186
 Ashish Syangbo Tamang,Ashish Syangbo,Syangbo's living food and beverages Pvt Ltd,https://in.linkedin.com/in/ashish-syangbo-tamang-5263871b4
 Swetha Kumari Koduru,Founder & Director,Sybiomics Technologies Private Limited,https://in.linkedin.com/in/swetha-koduru-05a5a643
 Ria Rustagi,Co-founder and CEO,Sychedelic (Pankhtech India Pvt. Ltd.),https://in.linkedin.com/in/ria-rustagi
 Ayush Patel,CEO,SyncUp Network Private Limited,https://in.linkedin.com/in/ayush-patel-699987192
 Sanjay Kumar,Director,SYNOWEBTECH SOFTWARE PRIVATE LIMITED,https://in.linkedin.com/in/sanjay-kumar-87617a14
 SUMEDHA NAIK,CEO,SYNTELLECT INDIA PVT. LTD.,https://in.linkedin.com/in/sumedhasalunkhenaik
 Chakradhari Sharma,Director - Cloud Technologies,Synycs Logarithms Private Limited,https://in.linkedin.com/in/chakradhari-sharma-68a506220
 Amrit Raj,Co-Founder & CEO,TAABUR,https://in.linkedin.com/in/amrit-raj-116a28222
 James Tharayil,Founder,Tacodi Electronics Pvt Ltd,https://www.linkedin.com/in/james-tharayil-3b709825b
 Akshya Shree,Founder CEO,TAD UDYOG PVT LTD,https://in.linkedin.com/in/akshya-shree
 Aadhar Lamichhane,Chief Business Officer,TAI Inc.,https://np.linkedin.com/in/aadhar-lamichhane-ba567894
 Anurag Velury,Head - Partnerships,TakeMe2Space,https://in.linkedin.com/in/anurag-velury
 Suresh Rangarajan,CEO,Talent Factori Pvt Ltd,https://in.linkedin.com/in/suresh-rangarajan-74413215
 Ankit Bansal,Founder,Talent Loans Technologies Pvt. Ltd.,https://in.linkedin.com/in/ankit-bansal-4621571
 Alok Nidhi Gupta,Co-Founder & CEO,TalentRecruit Software Pvt. Ltd.,https://www.linkedin.com/in/alok-nidhi-gupta
 Rahul Maroli,CEO & Founder,Tapfinity Technologies Private Limited,Not found
 Neha Chandra,Founder,Task Tracker Suite,https://in.linkedin.com/in/chandraneha
 Hardikkumar Patel,Director,Tatvamasi pharma pvt ltd,https://in.linkedin.com/in/hardikkumar-patel-557248322
 Sriram Narayanaswamy,CEO,Tavago Tech Private Limited,https://in.linkedin.com/in/sriram-narayanaswamy-0a2459315
 Himanshu Kumar,Himanshu Kumar,TaxbotGPT AI Pvt Ltd,https://in.linkedin.com/in/himanshu-kumar-891671180
 Binit Agarwalla,Founder,TBAI Solutions Private Limited,https://in.linkedin.com/in/binit-agarwalla
 Sunil Kumar Gupta,DIRECTOR,TCG Gold Private Limited,https://in.linkedin.com/in/sunil-kumar-gupta-2689682a
 Palak Bhandari,"CEO, founder",Teachspoon Edtech Pvt Ltd,https://in.linkedin.com/in/dr-palak-bhandari-73774b1b8
 Mukul Prajapati,Developer,Teblox Labs,https://in.linkedin.com/in/mukulprajapati
 SIDDHARTHA DUTTA,SIDDHARTHA DUTTA,TECH AT PLAY,https://in.linkedin.com/in/siddhartha-dutta-79040b70
 Amit Chavan,CEO,Tech PMG Business Solutions Pvt. Ltd.,https://in.linkedin.com/in/amit-chavan-93190a255
 Nishanth Kumar Martha,CEO,TECHARO INNOV PRIVATE LIMITED,https://in.linkedin.com/in/nishanth-kumar-martha-7bb312298
 Shivang Tiwari,Director & CEO,Techealth Apex Private Limited,https://in.linkedin.com/in/shivang-tiwari2415
 DARPAN KADU,FOUNDER,Techinnovate Mobility,https://in.linkedin.com/in/darpankadu
 Mohd Ehtesham,Founder & CEO,TECHNOFIT -AI PRIVATE LIMITED,https://in.linkedin.com/in/mohd-ehtesham-4a826629b
 Harsh Pathak,Co founder,Technotreon Private Limited,https://in.linkedin.com/in/pathak-harsh
 Sarang Mokashi,Cofounder,Techprom IoT,https://in.linkedin.com/in/sarang-mokashi-33b6297a
 Manik Joshi,Director,TechTiny Software Global Private Limited,https://in.linkedin.com/in/dr-manik-joshi-pmp%C2%AE-613360a
 Naman Gandhi,CEO & MD,Techyon Automotive Pvt ltd.,https://in.linkedin.com/in/naman-gandhi-a21ba0250
 Devansh Patel,Founder,Tectonic Power Pvt Ltd,https://in.linkedin.com/in/devansh-patel-tectonic-power
 Shubhangi Gupta,Director & CEO,Teertham Technologies Private Limited,https://in.linkedin.com/in/shubhangi-gupta-phd-a6942979
 Narendra Narendra,CEO,Tekurious Pvt Ltd,https://in.linkedin.com/in/dr-narendra-teotia-8321b01b
 Seema Sukhani,Director,TELLUS HABITAT PRIVATE LIMITED,https://in.linkedin.com/in/seema-sukhani-41a6b9152
 Vishal Singhal,CEO,Temperate Technologies Private Limited,https://in.linkedin.com/in/vishalsinghal
 Siva Krishna Vangala,CEO,Temples99,https://www.linkedin.com/in/sivavangala
 Jai Pipersenia,Project Associate,Teo Ventures Private Limited,https://in.linkedin.com/in/jai-pipersenia-a70a7958
 Ki hyeon Gweon,PL,Terracle,https://kr.linkedin.com/in/ki-hyeon-gweon-07a767248/en
 Suhyun Lee,CEO,Tesser,https://kr.linkedin.com/in/suhyun-lee-630597b5
 Neelima Vobugari,Neelima Vobugari,TestAIng Solutions Pvt ltdd,https://in.linkedin.com/in/learnwidneelima
 Priya Soni,Co-Founder; COO,Testntrack,https://in.linkedin.com/in/priyaasoni
 Milind Bambadkar,CEO,Testography Services LLP,https://in.linkedin.com/in/milind-bambadkar-766a6031
 Rajesh Setia,Rajesh Setia,TESTPAN INDIA PRIVATE LIMITED,https://in.linkedin.com/in/rajeshsetia
 Sadashiba Mishra,Founder & CEO,Testquest E -learning Pvt Ltd,Not found
 Pratap Singh Kushwah,Founder,Tesvolts Pvt Ltd,https://in.linkedin.com/in/pratap-singh-kushwaha-0a8ba463
 Manuj Terapanthi,CEO,Texaura Lifestyle Pvt Ltd,https://in.linkedin.com/in/manujterapanthi
 Mukesh Kumar,Co-Founder & CEO,Texoedge Innovation Pvt. Ltd.,https://in.linkedin.com/in/mukesh-kumar-47777a59
 Mohit Sharma,Chief Strategy Officer/Director,Tezipay Tech Solution Private Limited,https://in.linkedin.com/in/smohits
 Rainak Ghosh,Marketing head,Thanos Technologies Private Limited,https://in.linkedin.com/in/rainak07
 Umesh Vasu,CEO,Tharam-Thiran Green Energy Flow,https://in.linkedin.com/in/umesh-vasu-2136731a
 Prabhakaran KV,Head Business Development,Thazhal Geospatial Analytics,https://in.linkedin.com/in/thazhal-geospatial-b73185249
 Meera Vora,Co-Founder,The Able Company - Brand Name of BeyondBarrier Products Pvt. Ltd.,https://in.linkedin.com/in/meeramehtavora
 Shilpi Singh,Director,The Balance Story,https://in.linkedin.com/in/shilpi-singh-60114821
 Rohan Manager,Manager,The Catalyst Tree,https://www.linkedin.com/in/rohan-patel-pk
 Swetabh Pareek,Founder,The Climate Guys,https://in.linkedin.com/in/swetabhpareek
 ABHINAV BANSAL,CEO,THE GRATITUDE LANE,https://in.linkedin.com/in/rtnabhinav
 Divya Upadhyay,Divya Upadhyay,The Mango Jelly,https://in.linkedin.com/in/divyaupadhyay42
 Malvica Saxena,Malvica Saxena,The Quirky Naari,Not found
 Shubham Kumar Gupta,Co-founder,The Startup Network Nepal,https://in.linkedin.com/in/csshubham-gupta
 Arshita Setia,Founder,The Unlock - A brand under Earthy Promise Consumer Brands Private Limited,https://in.linkedin.com/in/arshita-setia
 HARISH VARDHANA,FOUNDER & DIRECTOR,TheBoxingBots,https://in.linkedin.com/in/harish-vardhana
 Prasad Wakode,Co Founder,Thekka BuildTech Corp,https://in.linkedin.com/in/prasad-wakode-85a22241
 Biman Debnath,Co-Founder and CEO,Thetalabs,https://www.linkedin.com/in/biman-debnath-721b1a47
 M S N Murthy,Director,Thimsa agro products Marketing (opc) pvt ltd,https://in.linkedin.com/in/thimsa-agro-visakhapatnam-03b004292
 Bipin Joshi,Bipin Joshi,Think Human Software and Services Private Limited (jhappi),https://in.linkedin.com/in/bipin-joshi-9b7a4418
 Rishab Gupta,Director,THINKCOMPBON INFOTECH PRIVATE LIMITED,https://in.linkedin.com/in/gotorishab
 ANKIT JAIN,FOUNDER AND CEO,THIRUMALS PAPER ARIZONA PVT LTD.,https://in.linkedin.com/in/sharlee-jain-7b4977257
 Hemant Ghai,CoFounder,Thiya Farms LLP,https://in.linkedin.com/in/hemant-ghai-6bb6b43b
 Kadalmani Krishnan,Chief Executive Officer,Thrafford Lifescience,https://in.linkedin.com/in/kadal348
 Deepak Kumar Nath,CEO & MD,Threatsys Technologies Private Limited,https://in.linkedin.com/in/deepakkumarnath
 Sanchit Aggarwal,Founder,Thynaa Healthy Naturally Private Limited,https://in.linkedin.com/in/thynaahealthynaturally
 Tilak Samaniya,Director,Tilak,https://in.linkedin.com/in/ttilak
 Nikhil Chandran,CEO,TILTLABS CONSULTANCY SERVICES PRIVATE LIMITED,https://in.linkedin.com/in/nikhil-tiltlabs
 Nikhil Jha,Marketing Manager,Timus Tooling System Private Limited,https://in.linkedin.com/in/nikhil-kumar-jha-50bb3a129
 Anupam Singh,CEO,TINKERBOX TECHNOLOGY PRIVATE LIMITED,https://in.linkedin.com/in/anupamsin
 Sakshi Sharma,Sakshi sharma,Tinkle Jewels,https://in.linkedin.com/in/sakshi-sharmaaa
 Bharat Golagana,Director,TinyData Technologies Pvt Ltd,https://in.linkedin.com/in/bharatgolagana
 Sameer Panda,Sameer Panda,TJ Tyres,Not found
 Haeyong Shin,CEO,Tlooto,https://kr.linkedin.com/in/haeyong
 Aditya Todi,CEO,Todi Naturals Private Limited,https://in.linkedin.com/in/adityatodi1996
 VENKATESH AGARWAL,VENKATESH AGARWAL,Togoeats Global Pvt. Ltd.,https://in.linkedin.com/in/venkatesh-agarwal-india
 Mayank Singh,Mayank Singh,Tooused,https://in.linkedin.com/in/mayank-singh-19profile
 Dinesh Bahl,Head of Partnerships,Torchit,https://in.linkedin.com/in/dinesh-bahl-1548211a
 Hrishikesh Nerkar,Startup Co -Founder,Tork AI,https://in.linkedin.com/in/hrishikesh015
 Ojashwin M,Director,Torus Robotics,https://in.linkedin.com/in/vigneshm94
 Vijay Kantharia,CEO,Total Health Solutions,https://in.linkedin.com/in/vijay-kantharia-8b607a100
 Deependra Singh Shekhawat,Co Founder & CEO,Trace Xero Technologies,https://in.linkedin.com/in/deependrasinghshekhawat
 Palash Jadhav,COO,Tractrix Opto Dynamics Pvt Ltd,https://in.linkedin.com/in/palash-patodi-0842a0a4
 Hoang Thi Yen,First Secrectary,Trade Office - Vietnam Embassy in Delhi,https://vn.linkedin.com/in/hoang-thi-yen-7b3785121
 Aditya Gupta,Co-Founder,TRADEREBOOT TECH PRIVATE LIMITED,https://in.linkedin.com/in/aditya-gupta-b820a2158
 Vishal Kumar,DIrector,Tramoke Private Limited,https://in.linkedin.com/in/profile-vishal-kumar
 Arihant Bharadwaj,Co Founder and CEO,Tranquil Labs Private Limited,https://in.linkedin.com/in/arihant-bharadwaj-434b22226
 Hemant Gaur,Associate Director - Growth,TransBnk Solutions Pvt. Ltd.,https://in.linkedin.com/in/hemantgaur95
 Badri Viswanathan Narayanan,Co Founder & CEO,Transform SciTech Private Limited,Not found
 Alok Adholeya,Founder and CEO,Translational Research and Innovations Pvt. Ltd,https://www.linkedin.com/in/alok-adholeya-5650b1100
 Anil Dhonde,Founder,TransTrak Tractors LLP,https://in.linkedin.com/in/anil-dhonde-b74a88179
 Tras Khongwir,Founder,Tras Handicraft,https://uk.linkedin.com/in/tras-i-808a142b7
 Saurav Chakraborty,Saurav Chakraborty,Travel Buddy,https://in.linkedin.com/in/sauravcha
 Megha Sharma,Megha Sharma,Tre Sessanta Financial Services Private Limited,https://in.linkedin.com/in/megha-sharma-8a6612324
 Yogesh Trivedi,Yogesh Trivedi,Tre Sessanta People Management Pvt Ltd,https://in.linkedin.com/in/yogesh-trivedi-940846b
 RUCHI SACHDEVA,Designated Partner,Treelogical Foods LLP,https://in.linkedin.com/in/ruchi-sachdeva-gupta
